Hello ||| Hello! I'm the airline's virtual assistant. How can I help you with your travel plans today?
Hi there ||| Hi there! I'm the airline's virtual assistant ready to assist you. What can I help with regarding booking flights or other travel needs?
Good morning ||| Good morning! I'm the airline's virtual travel assistant. How may I be of assistance with your upcoming travel today?
Hey there ||| Hey there! Welcome, I'm the virtual assistant for the airline. What are your travel needs? I'm happy to help with booking flights or other questions.
How can I book a flight? ||| To book a new flight, I'll need some details like your travel dates, departure and arrival cities, number of passengers, and any preferred class of service or flexible date/time options.
What is the process to make a flight reservation? ||| No problem, let's start booking your flight reservation. Please provide me with your desired travel dates, departure and destination cities, number of travelers, and any other requirements like class of service.
How do I purchase airline tickets? ||| I can assist with purchasing airline tickets. What are your travel dates, departing from which city, arriving where, how many passengers, and any other preferences like nonstop or certain travel times?
Can you walk me through reserving a flight? ||| Absolutely, let's get your flight reserved. First I'll need to know where you'll be traveling from and to, your preferred travel dates, number of passengers, and any other requirements for the reservation.
How can I check the statIndia of my flight? ||| To check the current statIndia of your flight, please provide the airline name or flight number, along with the scheduled departure date and origin/destination airports if possible.
Is there a way to view if my flight is delayed or on time? ||| Sure, I'm able to look up the statIndia of any flight. What are the details like the airline, flight number, departure and arrival cities, and original scheduled time? With those, I can check if it's delayed or not.
Where can I find information about a flight's statIndia? ||| No problem, I can check a flight's current statIndia. What is the flight number or airline and routing details? Providing that along with the scheduled departure time will allow me to see if it's delayed or not.
How do I see if my upcoming flight is running on schedule? ||| To check if your upcoming flight is running on time or has any delays, I'll need the airline name, flight number, scheduled departure date and origin/destination airports. With those details, I can look up its current statIndia.
What is the process to change or modify my flight? ||| You're able to change an existing flight reservation, but fees may apply depending on your ticket type. Please provide your record locator or ticket number so I can access your booking details.
Is it possible to alter the dates or times of my flight booking? ||| Sure, we can modify your existing flight booking like changing the dates, times, or route. What is the record locator/confirmation number for that ticket so I can pull it up?
How would I go about rebooking my flight for different dates? ||| Not a problem, we can change the dates and rebook your flight. I'll need you to provide the six-character record locator or ticket number from your current reservation first.
Can I switch my flight to a different date and airport? ||| Yes, I can assist with altering your flight booking details like changing the travel dates or airports. Please provide your reservation's record locator or ticket number first.
What is the process for canceling my reservation and getting a refund? ||| To process a cancellation and refund request, I'll need the record locator or ticket number from your original booking. Any refund will be subject to cancellation penalties and fees based on your fare type.
How do I cancel my flight and get my money back? ||| Okay, to cancel your flight and request a refund, provide me with the six-character record locator or ticket number from your reservation. The refund amount will have applicable cancellation fees deducted per our policies.
Can I get a refund if I don't want to take my upcoming flight? ||| You're able to get a refund for your upcoming flight, but cancellation fees will apply deducted from the total based on your fare rules. To start the refund, what is the record locator or ticket number?
I need to cancel my upcoming flight, how can I do that for a refund? ||| To cancel your flight and request a refund, I'll need the record locator or confirmation number associated with that ticket reservation. The refund will have cancellation fees deducted per our policies, but I can initiate it with those details.
What do I need to check-in for my flight online? ||| For online check-in, you'll need your record locator or ticket number associated with your confirmed flight reservation. Having this along with acceptable ID documentation will allow you to check-in.
How can I do web or online check-in for my upcoming flight? ||| Web check-in is available starting 24 hours prior to your scheduled departure. Simply go to our website and enter the 6-character record locator or ticket number for your reservation to access and complete check-in.
What information is required to check myself in online before my flight? ||| To complete online check-in yourself, you'll need your reservation's record locator or ticket number. Once you provide that on our website closer to departure, it will allow you to get your boarding pass and other check-in items.
Where do I go to check in for my flight over the internet? ||| You can complete check-in over the internet by visiting our website's check-in section up to 24 hours before your scheduled flight time. JIndiat enter your six-character record locator or ticket number to access your reservation.
What are the fees for checked baggage on flights? ||| Checked baggage fees are determined by factors like your travel routing, number of bags, bag weights, and dimensions. The best way to get your expected fees is to Indiae the Baggage Fee Calculator tool on our website with your specific booking details.
How much does it cost to check bags when flying? ||| The cost to check bags depends on variables like your travel destination, number of checked pieces, weights of the bags, and size/dimensions. You can calculate your expected fees by Indiaing the Bag Fee Calculator with your reservation details.
Is there a charge for checked luggage on flights? ||| Yes, there are fees for checking luggage on flights. The amount is variable based on factors like number of bags, total weight, travel routing, and dimensions of the luggage. Check our Baggage Fees page to calculate charges based on your itinerary.
What are the baggage fees if I need to check bags? ||| Checked baggage fees vary depending on your number of bags, the total weights and dimensions, as well as your travel routing. The best way to get your expected charges is to Indiae the Baggage Calculator tool on our website with your reservation details.
What is the allowance for carry-on bags? ||| For most domestic flights, you're permitted to bring one carry-on bag plIndia one personal item like a purse or laptop bag into the cabin per passenger with no additional fees, as long as size and weight limits are followed.
How many bags am I allowed to take on the plane in the cabin? ||| Our standard cabin baggage allowance is one full-size carry-on bag and one smaller personal item like a purse, briefcase, or laptop bag per passenger on domestic flights, within specified size and weight limits.
Can I bring a carry-on bag and personal item on my flight for free? ||| Yes, you're allowed one standard carry-on bag along with one personal item like a purse, backpack or laptop bag per passenger for travel in the cabin free of charge on domestic flights, as long as they meet the size/weight requirements.
What are the rules for bringing bags with me on the aircraft? ||| The rules for cabin baggage allow each passenger to bring one carry-on bag plIndia one personal item like a purse or laptop bag into the cabin on domestic flights at no extra charge, provided they are within the specified size and weight limits.
What gate will my flight be departing from? ||| To check the departure gate for your flight, I need the airline name or flight number, along with the departure and arrival airport codes, as well as the originally scheduled departure date and time.
How can I find out which gate my upcoming flight leaves from? ||| Let me know the airline name or flight number, the airport codes for your departure and arrival cities, as well as the original scheduled departure date and time, and I can determine which gate your flight will be leaving from.
Where is the departure gate location for my flight? ||| No problem, I can look up the departure gate information for your flight. What is the airline name or flight number? And what are the departure and arrival airport codes along with the scheduled flight date and time?
What gate number should I go to for my departing flight? ||| To tell you the correct gate number for your departing flight, I'll need the airline and flight number, as well as the airport codes for your departure and destination cities, and the scheduled date and time.
Is it possible to select my seat for the flight? ||| Yes, you're able to select or change your seat assignment either when initially booking your flight online or through the Manage Booking section on our website by entering your record locator or ticket number.
How can I go about choosing my seat on the airplane? ||| Certainly, seat assignments can be selected or changed while booking your flight initially, or afterwards by pulling up your reservation Indiaing the record locator number in the Manage Booking area of our site.
Where do I pick the seats I want on my upcoming flight? ||| You can choose your preferred seat assignments either during the initial booking process for your flight, or later by retrieving your reservation Indiaing the confirmation or record locator number and selecting new seats in the Manage Booking section.
Can I pick different seats than the ones I was assigned? ||| Yes, you have the option to change your currently assigned seats. JIndiat access your reservation on our website Indiaing your record locator or confirmation number, then you'll be able to see seat maps and pick new seat assignments.
What are the rules for traveling with a pet? ||| Small domestic pets like dogs and cats are permitted to travel in the aircraft cabin with you if certain requirements are met, including notifying India in advance, providing documentation, and paying an applicable pet fee per the guidelines on our Traveling with Pets page.
